artist_name,count
Radiohead,582658
The Beatles,559065
Pink Floyd,440631
Daft Punk,414091
Muse,335187
Nine Inch Nails,330685
Aphex Twin,286798
Coldplay,283585
Metallica,278857
Queen,276178
Red Hot Chili Peppers,275976
David Bowie,265156
Linkin Park,256518
Michael Z. Land,252100
Led Zeppelin,248465
Nirvana,247402
近藤浩治,237272
Depeche Mode,232015
Kanye West,229415
Arctic Monkeys,226366
Boards of Canada,225400
Iron Maiden,219616
Nightwish,210755
Green Day,209560
System of a Down,206633
Foo Fighters,205592
Gorillaz,204586
Arcade Fire,200142
In Flames,194604
Pearl Jam,185368
Rammstein,180244
Massive Attack,175817
The Killers,174838
Queens of the Stone Age,174699
Tool,174496
blink-182,170090
The Cure,167975
The Smashing Pumpkins,164785
R.E.M.,164606
Lana Del Rey,164417
Deep Purple,160841
Weezer,159845
Eminem,158282
The Offspring,158264
U2,157645
Marilyn Manson,155731
The Doors,153942
Kendrick Lamar,153918
Lady Gaga,152150
John Williams,151662
Porcupine Tree,149276
Placebo,149050
Mike Oldfield,148283
The Rolling Stones,147806
Black Sabbath,145615
Dream Theater,143990
Björk,143851
The Prodigy,143086
Opeth,142215
Madonna,141767
The Black Keys,139870
Sigur Rós,139534
The White Stripes,139132
Death Cab for Cutie,138803
Bob Dylan,136393
Sufjan Stevens,134667
Crystal Castles,134404
Bonobo,133320
Moby,132723
M83,129954
AC/DC,129906
The Smiths,128959
Modest Mouse,128540
Rise Against,128528
Beck,128097
Pixies,127022
The National,125040
Fall Out Boy,124302
The Strokes,122960
Katatonia,122719
Megadeth,120629
The xx,120204
Frank Zappa,119870
Faith No More,119634
Paramore,119021
Autechre,116743
Disturbed,116618
Mogwai,116480
Motörhead,116042
Deftones,115110
Johann Sebastian Bach,114538
Rage Against the Machine,114399
Korn,114157
Beastie Boys,114096
Bad Religion,113773
Taylor Swift,112312
Röyksopp,111923
Hans Zimmer,111260
Dark Tranquillity,111192
Portishead,111038
Air,110898
Avril Lavigne,110379
梶浦由記,109304
Howard Shore,109291
Joy Division,108867
Tom Waits,108586
Katy Perry,107527
Interpol,106811
Judas Priest,106754
Michael Jackson,106608
Evanescence,106014
The Clash,105283
Johnny Cash,105127
Oasis,104466
Bloc Party,103936
Guns N' Roses,103853
Anathema,102632
God Is An Astronaut,101807
New Order,101349
Incubus,101272
Marillion,100946
菅野よう子,100790
Rush,99865
Nick Cave & The Bad Seeds,99307
Kings of Leon,99290
The Chemical Brothers,99021
Within Temptation,96311
Mastodon,96113
Animal Collective,95176
Pendulum,94543
Alice in Chains,93698
Florence + the Machine,93662
The Beach Boys,93606
Papa Roach,93120
ABBA,92918
Rihanna,92858
Nujabes,92363
A Perfect Circle,92345
Genesis,92265
Drake,91934
Death Grips,91508
Blur,90497
Wolfgang Amadeus Mozart,90271
deadmau5,89734
Belle and Sebastian,89447
The Decemberists,89084
Slayer,88972
Soundgarden,88462
Eels,88367
Vampire Weekend,88155
Britney Spears,87784
Jimi Hendrix,87520
植松伸夫,86321
Franz Ferdinand,86268
My Chemical Romance,85702
Regina Spektor,85527
Sonic Youth,85163
Avenged Sevenfold,85115
Bon Iver,84467
The Mars Volta,84003
Aerosmith,83840
65daysofstatic,83660
The Who,83471
Coheed and Cambria,83453
Cake,83142
久石譲,82829
Amon Amarth,82813
Grimes,82706
Tame Impala,82164
Fleetwood Mac,81959
The Flaming Lips,80980
Slipknot,80737
Imagine Dragons,80624
Dire Straits,79335
Creedence Clearwater Revival,79194
Panic! at the Disco,78944
Talking Heads,78704
Tori Amos,78252
CHVRCHES,78171
DJ Shadow,78033
Explosions in the Sky,77884
The Shins,77355
Frank Sinatra,77280
Bush,77043
Bruce Springsteen,76739
Miles Davis,76252
Ludwig van Beethoven,76144
MGMT,75105
The Knife,74678
alt-J,74475
30 Seconds to Mars,74255
Metric,74240
PJ Harvey,74237
Ramones,74233
Lorde,74226
Justice,74116
Bob Marley & The Wailers,73180
Three Days Grace,73059
Frank Ocean,72847
The Kinks,72846
Yeah Yeah Yeahs,72483
Elliott Smith,72189
Pantera,72141
Duran Duran,71972
Sum 41,71957
Garbage,71727
LCD Soundsystem,71544
Anal Cunt,71430
Ratatat,71416
Ulver,71394
Ennio Morricone,71260
Burial,71099
Kate Bush,70932
Enya,70828
King Crimson,70602
Sia,70461
Maroon 5,70138
Breaking Benjamin,69972
Blind Guardian,69643
Wilco,69238
Apocalyptica,69226
My Bloody Valentine,68708
Spoon,68565
Thievery Corporation,68534
Simon & Garfunkel,68514
The Weeknd,68169
Beach House,68124
NOFX,67978
Gojira,67891
Childish Gambino,67676
Kasabian,67571
Venetian Snares,67323
Tycho,66982
Flying Lotus,66760
Infected Mushroom,66734
Eluveitie,66484
Neil Young,66333
Loreena McKennitt,66297
Adele,66275
Elton John,66250
Scorpions,66207
Jimmy Eat World,65866
Electric Light Orchestra,65850
Phoenix,65257
Brian Eno,65257
Tegan and Sara,64940
Brand New,64903
Neutral Milk Hotel,64546
Ellie Goulding,64491
Marina & the Diamonds,63915
Beyoncé,63509
Enter Shikari,63469
The Cranberries,63409
Dave Matthews Band,63212
The Flashbulb,63135
Jeremy Soule,62988
Kamelot,62934
Cocteau Twins,62844
川井憲次,62535
Amorphis,62526
Calvin Harris,62473
Elvis Presley,62141
Vangelis,62103
Audioslave,61611
Children of Bodom,61501
Yann Tiersen,61436
Amon Tobin,61293
Yes,61215
The Velvet Underground,61199
Soilwork,61143
Mumford & Sons,60903
Snow Patrol,60769
Kraftwerk,60716
Martin O'Donnell & Michael Salvatori,60662
They Might Be Giants,60469
Broken Social Scene,60408
Pet Shop Boys,60152
Paradise Lost,60131
Foals,59832
Fleet Foxes,59598
Jay-Z,59579
Slowdive,59411
Pavement,59327
Ayreon,59147
Carly Rae Jepsen,58808
Bon Jovi,58528
The Mountain Goats,58385
Limp Bizkit,58212
Four Tet,57960
Whitesnake,57677
Run the Jewels,57633
Cradle of Filth,57497
Alanis Morissette,57471
Dead Can Dance,57437
Shakira,57428
A Tribe Called Quest,57271
ZZ Top,57067
Portugal. The Man,56609
Nickelback,56578
The Police,56575
AFI,56544
Feist,56504
Backstreet Boys,56470
Morcheeba,56380
Celldweller,55988
Bright Eyes,55852
Lacuna Coil,55818
Ozzy Osbourne,55589
Leonard Cohen,55547
Two Steps from Hell,55266
TV on the Radio,55151
Arch Enemy,55058
Kylie Minogue,54412
Goldfrapp,54403
Billy Talent,54287
Bastille,54245
M.I.A.,54196
Iron & Wine,54160
Grizzly Bear,54142
Bring Me the Horizon,54097
Bullet for My Valentine,54013
Jethro Tull,53981
Fear Factory,53925
Jack Johnson,53913
Ministry,53846
Behemoth,53830
Eric Clapton,53769
Georg Friedrich Händel,53672
Manic Street Preachers,53462
No Doubt,53442
Swans,53409
Ed Sheeran,53176
OutKast,53032
Beirut,53022
A Day to Remember,52877
AFX,52765
Grateful Dead,52565
Sepultura,51784
Skrillex,51781
The Magnetic Fields,51687
Anon.,51601
"""Weird Al"" Yankovic",51566
Akira Yamaoka,51519
Clutch,51487
The Postal Service,51427
Norah Jones,51372
Sonata Arctica,51310
Mindless Self Indulgence,51228
The New Pornographers,51141
Death,50811
Ramin Djawadi,50714
Misfits,50630
Billy Joel,50623
Agalloch,50614
Ween,50417
Epica,50313
Isis,50240
Five Finger Death Punch,50215
David Guetta,50124
of Montreal,49937
Zero 7,49823
James Blake,49770
Killswitch Engage,49728
Stone Temple Pilots,49713
Black Eyed Peas,49595
Lamb of God,49501
Meshuggah,49417
Glee Cast,49388
Thrice,49272
The Jesus and Mary Chain,49110
Underworld,48937
The Alan Parsons Project,48876
2Pac,48781
Testament,48761
Jamiroquai,48555
The Dillinger Escape Plan,48457
Kyuss,48281
Prince,48271
Two Door Cinema Club,48120
Hot Chip,48014
Cannibal Corpse,47884
St. Vincent,47762
Insomnium,47734
Clint Mansell,47730
Nick Drake,47721
Tenacious D,47646
Mariah Carey,47622
Editors,47619
Passion Pit,47600
Sabaton,47303
Tricky,47187
Cat Power,46992
Pyotr Ilyich Tchaikovsky,46980
Uriah Heep,46800
John Zorn,46487
Rancid,46479
The Roots,46432
P!nk,46177
Rob Zombie,46091
Squarepusher,46040
Amy Winehouse,46026
The Birthday Massacre,45772
Van Halen,45699
Kaiser Chiefs,45459
[unknown],45447
KMFDM,45409
Lily Allen,45342
Sublime,45333
Ghost,45200
Fatboy Slim,45187
Pain of Salvation,45163
Barenaked Ladies,45156
Andrew Bird,45115
Yo La Tengo,45110
Ensiferum,45101
Twenty One Pilots,45092
Aesop Rock,45013
Alice Cooper,44905
Godspeed You! Black Emperor,44780
Bat for Lashes,44717
UNKLE,44606
Fear of God,44588
Ladytron,44463
A$AP Rocky,44461
Phish,44329
The Jimi Hendrix Experience,44304
Deerhunter,44294
"Tyler, the Creator",44161
Emancipator,44124
Caribou,44037
Dimmu Borgir,43884
The Cardigans,43481
Band of Horses,43327
Dropkick Murphys,43317
Steven Wilson,43201
The Gathering,43190
The Future Sound of London,43173
Fugazi,43167
The Kills,43162
Keane,43155
Justin Timberlake,43016
Primus,42911
Carbon Based Lifeforms,42852
Kiss,42799
Foster the People,42729
Nas,42683
Avicii,42671
Of Monsters and Men,42623
Ariana Grande,42507
Peter Gabriel,42462
Parov Stelar,42437
Skillet,42324
Devin Townsend Project,42190
Flogging Molly,42086
Skinny Puppy,42029
At the Drive-In,41981
Cypress Hill,41977
Cage the Elephant,41864
Dethklok,41842
Machine Head,41833
Rilo Kiley,41793
OneRepublic,41792
Baroness,41638
Danny Elfman,41633
Stars,41558
Supertramp,41552
Antonio Vivaldi,41495
Converge,41324
Mono,41317
Wolfmother,41130
Kid Cudi,41127
Iced Earth,41126
Dr. Dre,40840
The Seatbelts,40832
Lykke Li,40809
The Avalanches,40784
Ke$ha,40655
Madvillain,40596
David & Stephen Rippy,40592
Nina Simone,40566
Rotting Christ,40427
Moonspell,40392
Faithless,40215
Dinosaur Jr.,40072
Orbital,40067
Tiamat,39919
Yellowcard,39915
Danny Brown,39892
Philip Glass,39830
Motion City Soundtrack,39786
Lil' Wayne,39743
Frédéric Chopin,39671
Armin van Buuren,39656
Morrissey,39636
浜崎あゆみ,39621
Helloween,39547
Anti-Flag,39541
Enigma,39517
Stars of the Lid,39485
Riverside,39308
Sarah McLachlan,39297
Trivium,39286
3 Doors Down,39217
Black Rebel Motorcycle Club,39135
Sting,39085
Legião Urbana,39046
Eagles,38968
Mr. Bungle,38953
Tiësto,38936
Korpiklaani,38842
Ludovico Einaudi,38794
Static-X,38736
Biffy Clyro,38699
Anthrax,38692
Type O Negative,38624
Biosphere,38600
The Kooks,38589
Kreator,38408
Lemon Jelly,38406
John Mayer,38333
Cut Copy,38330
Mac DeMarco,38323
RJD2,38155
Jonathan Coulton,38130
Burzum,38038
Fiona Apple,38000
Tears for Fears,37922
Machinae Supremacy,37773
The Raconteurs,37763
Sleater-Kinney,37719
Santana,37654
Buckethead,37643
Max Richter,37539
Nile,37473
Purity Ring,37415
Jon Hopkins,37398
Moderat,37352
dredg,37345
Napalm Death,37317
Front Line Assembly,37212
Owl City,37211
Atmosphere,37182
Celtic Woman,37142
Wu-Tang Clan,37092
Melvins,37041
Stevie Wonder,36662
Built to Spill,36650
John Lennon,36581
Alcest,36554
Seether,36416
Joe Satriani,36391
Major Lazer,36228
The Sisters of Mercy,36181
The Stranglers,36127
Girl Talk,36094
Blue Öyster Cult,36089
Caravan Palace,36062
Secret Chiefs 3,35987
"Junichi Masuda, Go Ichinose",35976
J Dilla,35805
Paul Simon,35776
Chachani,35681
Kings of Convenience,35545
Alkaline Trio,35051
Carcass,34973
El Ten Eleven,34876
Jean Michel Jarre,34861
The Hives,34797
Solar Fields,34797
My Dying Bride,34781
Tim Hecker,34779
Mac Miller,34748
Charli XCX,34724
Boris,34556
The Fall,34439
Anberlin,34332
HammerFall,34331
Lynyrd Skynyrd,34251
Dead Kennedys,34249
The Cinematic Orchestra,34153
Chevelle,34131
Ben Folds,34130
My Morning Jacket,33943
Between the Buried and Me,33857
The Glitch Mob,33831
Current 93,33815
Battles,33656
Miike Snow,33645
Kelly Clarkson,33589
Coil,33529
Therion,33508
Bloodhound Gang,33479
Bombay Bicycle Club,33258
J. Cole,33159
Zebrahead,33130
Paul McCartney,33099
Plaid,33068
The Dear Hunter,33028
Murray Gold,33020
Calexico,33011
Lupe Fiasco,32922
Metronomy,32840
Christina Aguilera,32735
Darkthrone,32698
Pretty Lights,32623
